Cubic spline of log_of_lcdm_z0.matter_pk with boundary conditions : f"(x_0) = 0.000000e+000, f"(x_n) = 0.000000e+000

f(x | [x_j , x_j+1]) 
= m_j+1 * (x - x_j) ^ 3 / (6 * h_j) - m_j * (x - x_j+1) ^ 3 / (6 * h_j) 
  + (6 * y_j+1 - m_j+1 * h_j ^ 2) * (x - x_j) / (6 * h_j) 
  - (6 * y_j - m_j * h_j ^ 2) * (x - x_j+1) / (6 * h_j)
= (m_j+1 - m_j) * (x - x_j) ^ 3 / (6 * h_j) + m_j * (x - x_j) ^ 2 / 2 
  + ((y_j+1 - y_j) / h_j - (2 * m_j * h_j + m_j+1 * h_j) / 6) * (x - x_j) + y_j

    j       x_j            y_j      h_j=x_j+1-x_j   m_j=f"(x_j)        a_j            b_j            c_j      
  211 -1.890000e+000 4.530436e+000 9.999990e-003 -1.684247e+000 -4.075451e-001 -8.421233e-001 2.064926e-001
  212 -1.880000e+000 4.532416e+000 9.999871e-003 -1.708699e+000 -1.178808e+000 -8.543496e-001 1.895279e-001
  213 -1.870000e+000 4.534225e+000 9.999871e-003 -1.779427e+000 -6.241164e-001 -8.897134e-001 1.720875e-001
  214 -1.860000e+000 4.535856e+000 1.000023e-002 -1.816873e+000 -6.649640e-001 -9.084367e-001 1.541063e-001
  215 -1.850000e+000 4.537305e+000 9.999990e-003 -1.856772e+000 -9.178667e-001 -9.283860e-001 1.357376e-001
  216 -1.840000e+000 4.538569e+000 9.999752e-003 -1.911844e+000 -9.222975e-001 -9.559220e-001 1.168945e-001
  217 -1.830000e+000 4.539641e+000 1.000011e-002 -1.967180e+000 -6.986462e-001 -9.835902e-001 9.749990e-002
  218 -1.820000e+000 4.540517e+000 1.000011e-002 -2.009100e+000 -1.009545e+000 -1.004550e+000 7.761829e-002
  219 -1.810000e+000 4.541192e+000 9.999871e-003 -2.069673e+000 -9.763724e-001 -1.034837e+000 5.722420e-002
  220 -1.800000e+000 4.541660e+000 9.999990e-003 -2.128255e+000 -8.275199e-001 -1.064127e+000 3.623483e-002
  221 -1.790000e+000 4.541915e+000 1.000011e-002 -2.177906e+000 -9.510532e-001 -1.088953e+000 1.470404e-002
  222 -1.780000e+000 4.541952e+000 1.000011e-002 -2.234970e+000 -1.085810e+000 -1.117485e+000 -7.360574e-003
  223 -1.770000e+000 4.541766e+000 9.999871e-003 -2.300119e+000 -9.171008e-001 -1.150059e+000 -3.003627e-002
  224 -1.760000e+000 4.541349e+000 9.999871e-003 -2.355144e+000 -9.662911e-001 -1.177572e+000 -5.331228e-002
  225 -1.750000e+000 4.540698e+000 1.000011e-002 -2.413121e+000 -9.157954e-001 -1.206560e+000 -7.715330e-002
  226 -1.740000e+000 4.539804e+000 9.999990e-003 -2.468069e+000 -1.120167e+000 -1.234035e+000 -1.015595e-001
  227 -1.730000e+000 4.538664e+000 1.000011e-002 -2.535279e+000 -7.751340e-001 -1.267640e+000 -1.265762e-001
  228 -1.720000e+000 4.537271e+000 9.999990e-003 -2.581788e+000 -1.057666e+000 -1.290894e+000 -1.521619e-001
  229 -1.710000e+000 4.535619e+000 9.999871e-003 -2.645248e+000 -7.256204e-001 -1.322624e+000 -1.782970e-001
  230 -1.700000e+000 4.533703e+000 9.999990e-003 -2.688784e+000 -7.626183e-001 -1.344392e+000 -2.049668e-001
  231 -1.690000e+000 4.531518e+000 9.999990e-003 -2.734541e+000 -1.013538e+000 -1.367271e+000 -2.320834e-001
  232 -1.680000e+000 4.529060e+000 9.999990e-003 -2.795354e+000 -4.284465e-001 -1.397677e+000 -2.597329e-001
  233 -1.670000e+000 4.526322e+000 1.000011e-002 -2.821060e+000 -5.728500e-001 -1.410530e+000 -2.878149e-001
  234 -1.660000e+000 4.523303e+000 9.999990e-003 -2.855432e+000 -6.899880e-001 -1.427716e+000 -3.161977e-001
  235 -1.650000e+000 4.519997e+000 9.999990e-003 -2.896831e+000 2.924604e-002 -1.448416e+000 -3.449590e-001
  236 -1.640000e+000 4.516403e+000 9.999990e-003 -2.895076e+000 -3.806754e-001 -1.447538e+000 -3.739185e-001
  237 -1.630000e+000 4.512518e+000 9.999990e-003 -2.917917e+000 6.295051e-002 -1.458958e+000 -4.029834e-001
  238 -1.620000e+000 4.508343e+000 9.999990e-003 -2.914140e+000 1.288773e-001 -1.457070e+000 -4.321437e-001
  239 -1.610000e+000 4.503876e+000 9.999871e-003 -2.906407e+000 3.167590e-001 -1.453204e+000 -4.612464e-001
  240 -1.600000e+000 4.499118e+000 1.000011e-002 -2.887402e+000 6.867651e-001 -1.443701e+000 -4.902151e-001
  241 -1.590000e+000 4.494072e+000 9.999990e-003 -2.846195e+000 5.755430e-001 -1.423098e+000 -5.188833e-001
  242 -1.580000e+000 4.488742e+000 1.000011e-002 -2.811663e+000 1.429554e+000 -1.405831e+000 -5.471726e-001
  243 -1.570000e+000 4.483131e+000 9.999990e-003 -2.725889e+000 7.249879e-001 -1.362944e+000 -5.748607e-001
  244 -1.560000e+000 4.477247e+000 9.999990e-003 -2.682389e+000 1.934622e+000 -1.341195e+000 -6.019021e-001
  245 -1.550000e+000 4.471096e+000 9.999990e-003 -2.566312e+000 1.550132e+000 -1.283156e+000 -6.281455e-001
  246 -1.540000e+000 4.464687e+000 9.999990e-003 -2.473305e+000 1.878486e+000 -1.236652e+000 -6.533436e-001
  247 -1.530000e+000 4.458032e+000 9.999990e-003 -2.360595e+000 2.380024e+000 -1.180298e+000 -6.775131e-001
  248 -1.520000e+000 4.451141e+000 9.999871e-003 -2.217794e+000 2.343677e+000 -1.108897e+000 -7.004050e-001
  249 -1.510000e+000 4.444029e+000 1.000011e-002 -2.077175e+000 2.808580e+000 -1.038588e+000 -7.218795e-001
  250 -1.500000e+000 4.436709e+000 9.999990e-003 -1.908659e+000 2.376328e+000 -9.543294e-001 -7.418090e-001
  251 -1.490000e+000 4.429198e+000 9.999990e-003 -1.766079e+000 3.507836e+000 -8.830396e-001 -7.601826e-001
  252 -1.480000e+000 4.421511e+000 1.000011e-002 -1.555609e+000 2.760223e+000 -7.778046e-001 -7.767910e-001
  253 -1.470000e+000 4.413668e+000 9.999990e-003 -1.389994e+000 3.383980e+000 -6.949970e-001 -7.915192e-001
  254 -1.460000e+000 4.405687e+000 9.999990e-003 -1.186955e+000 3.346851e+000 -5.934777e-001 -8.044040e-001
  255 -1.450000e+000 4.397587e+000 9.999990e-003 -9.861446e-001 3.255830e+000 -4.930723e-001 -8.152695e-001
  256 -1.440000e+000 4.389388e+000 9.999871e-003 -7.907950e-001 3.557984e+000 -3.953975e-001 -8.241541e-001
  257 -1.430000e+000 4.381111e+000 9.999990e-003 -5.773187e-001 3.213855e+000 -2.886593e-001 -8.309946e-001
  258 -1.420000e+000 4.372775e+000 9.999990e-003 -3.844876e-001 3.515566e+000 -1.922438e-001 -8.358036e-001
  259 -1.410000e+000 4.364401e+000 1.000011e-002 -1.735538e-001 3.327996e+000 -8.677691e-002 -8.385938e-001
  260 -1.400000e+000 4.356010e+000 9.999990e-003 2.612811e-002 2.999406e+000 1.306406e-002 -8.393310e-001
  261 -1.390000e+000 4.347621e+000 9.999990e-003 2.060923e-001 3.371049e+000 1.030462e-001 -8.381699e-001
  262 -1.380000e+000 4.339253e+000 9.999990e-003 4.083551e-001 2.589937e+000 2.041775e-001 -8.350977e-001
  263 -1.370000e+000 4.330925e+000 9.999990e-003 5.637512e-001 2.958554e+000 2.818756e-001 -8.302372e-001
  264 -1.360000e+000 4.322654e+000 9.999990e-003 7.412642e-001 2.265193e+000 3.706321e-001 -8.237121e-001
  265 -1.350000e+000 4.314456e+000 9.999990e-003 8.771757e-001 2.285830e+000 4.385878e-001 -8.156199e-001
  266 -1.340000e+000 4.306346e+000 9.999990e-003 1.014325e+000 1.466123e+000 5.071627e-001 -8.061624e-001
  267 -1.330000e+000 4.298337e+000 1.000011e-002 1.102293e+000 1.479927e+000 5.511463e-001 -7.955793e-001
  268 -1.320000e+000 4.290437e+000 9.999990e-003 1.191089e+000 5.320078e-001 5.955446e-001 -7.841123e-001
  269 -1.310000e+000 4.282656e+000 9.999871e-003 1.223010e+000 2.110151e-001 6.115049e-001 -7.720418e-001
  270 -1.300000e+000 4.274997e+000 1.000011e-002 1.235670e+000 -1.104325e+000 6.178352e-001 -7.597485e-001
  271 -1.290000e+000 4.267460e+000 9.999990e-003 1.169410e+000 -1.310584e+000 5.847051e-001 -7.477230e-001
  272 -1.280000e+000 4.260040e+000 9.999990e-003 1.090775e+000 -3.099547e+000 5.453876e-001 -7.364221e-001
  273 -1.270000e+000 4.252728e+000 9.999990e-003 9.048026e-001 -3.934249e+000 4.524013e-001 -7.264442e-001
  274 -1.260000e+000 4.245504e+000 9.999990e-003 6.687479e-001 -5.005388e+000 3.343740e-001 -7.185764e-001
  275 -1.250000e+000 4.238347e+000 9.999990e-003 3.684249e-001 -7.038702e+000 1.842125e-001 -7.133906e-001
  276 -1.240000e+000 4.231225e+000 1.000011e-002 -5.389679e-002 -7.762721e+000 -2.694840e-002 -7.118180e-001
  277 -1.230000e+000 4.224096e+000 9.999871e-003 -5.196651e-001 -9.849937e+000 -2.598326e-001 -7.146858e-001
  278 -1.220000e+000 4.216913e+000 9.999990e-003 -1.110654e+000 -1.123315e+001 -5.553269e-001 -7.228373e-001
  279 -1.210000e+000 4.209618e+000 9.999990e-003 -1.784642e+000 -1.206006e+001 -8.923210e-001 -7.373137e-001
  280 -1.200000e+000 4.202144e+000 9.999990e-003 -2.508245e+000 -1.395975e+001 -1.254122e+000 -7.587782e-001
  281 -1.190000e+000 4.194417e+000 9.999990e-003 -3.345829e+000 -1.411718e+001 -1.672915e+000 -7.880485e-001
  282 -1.180000e+000 4.186355e+000 1.000011e-002 -4.192859e+000 -1.529843e+001 -2.096430e+000 -8.257419e-001
  283 -1.170000e+000 4.177872e+000 9.999990e-003 -5.110775e+000 -1.453614e+001 -2.555387e+000 -8.722606e-001
  284 -1.160000e+000 4.168880e+000 9.999990e-003 -5.982943e+000 -1.467362e+001 -2.991471e+000 -9.277291e-001
  285 -1.150000e+000 4.159288e+000 9.999990e-003 -6.863359e+000 -1.260033e+001 -3.431679e+000 -9.919606e-001
  286 -1.140000e+000 4.149013e+000 9.999990e-003 -7.619378e+000 -1.121924e+001 -3.809689e+000 -1.064374e+000
  287 -1.130000e+000 4.137977e+000 9.999990e-003 -8.292532e+000 -7.372720e+000 -4.146266e+000 -1.143934e+000
  288 -1.120000e+000 4.126116e+000 9.999990e-003 -8.734895e+000 -4.589530e+000 -4.367447e+000 -1.229071e+000
  289 -1.110000e+000 4.113384e+000 9.999990e-003 -9.010266e+000 1.411996e+000 -4.505133e+000 -1.317796e+000
  290 -1.100000e+000 4.099757e+000 9.999990e-003 -8.925547e+000 6.094096e+000 -4.462773e+000 -1.407475e+000
  291 -1.090000e+000 4.085242e+000 1.000011e-002 -8.559901e+000 1.254675e+001 -4.279951e+000 -1.494903e+000
  292 -1.080000e+000 4.069877e+000 9.999871e-003 -7.807088e+000 1.992624e+001 -3.903544e+000 -1.576738e+000
  293 -1.070000e+000 4.053740e+000 1.000011e-002 -6.611529e+000 2.534143e+001 -3.305764e+000 -1.648831e+000
  294 -1.060000e+000 4.036946e+000 9.999871e-003 -5.091026e+000 3.335913e+001 -2.545513e+000 -1.707344e+000
  295 -1.050000e+000 4.019651e+000 1.000011e-002 -3.089504e+000 3.754749e+001 -1.544752e+000 -1.748246e+000
  296 -1.040000e+000 4.002052e+000 9.999990e-003 -8.366306e-001 4.137019e+001 -4.183153e-001 -1.767877e+000
  297 -1.030000e+000 3.984373e+000 9.999990e-003 1.645578e+000 4.275201e+001 8.227892e-001 -1.763832e+000
  298 -1.020000e+000 3.966859e+000 9.999990e-003 4.210696e+000 4.058463e+001 2.105348e+000 -1.734551e+000
  299 -1.010000e+000 3.949765e+000 9.999990e-003 6.645772e+000 3.452086e+001 3.322886e+000 -1.680269e+000
  300 -1.000000e+000 3.933329e+000 9.999990e-003 8.717021e+000 2.541881e+001 4.358510e+000 -1.603455e+000
  301 -9.900000e-001 3.917756e+000 1.000023e-002 1.024215e+001 1.171988e+001 5.121074e+000 -1.508659e+000
  302 -9.799998e-001 3.903193e+000 9.999692e-003 1.094536e+001 -3.523140e+000 5.472679e+000 -1.402719e+000
  303 -9.700001e-001 3.889710e+000 1.000005e-002 1.073398e+001 -2.238092e+001 5.366988e+000 -1.294326e+000
  304 -9.600000e-001 3.877281e+000 9.999871e-003 9.391113e+000 -3.854348e+001 4.695557e+000 -1.193700e+000
  305 -9.500002e-001 3.865775e+000 1.000029e-002 7.078534e+000 -5.452443e+001 3.539267e+000 -1.111353e+000
  306 -9.399999e-001 3.854960e+000 1.000005e-002 3.806974e+000 -6.594164e+001 1.903487e+000 -1.056924e+000
  307 -9.299998e-001 3.844516e+000 9.999692e-003 -1.495442e-001 -7.187067e+001 -7.477210e-002 -1.038636e+000
  308 -9.200001e-001 3.834050e+000 1.000023e-002 -4.461652e+000 -7.120911e+001 -2.230826e+000 -1.061692e+000
  309 -9.099999e-001 3.823139e+000 9.999812e-003 -8.734296e+000 -6.276071e+001 -4.367148e+000 -1.127673e+000
  310 -9.000001e-001 3.811363e+000 1.000023e-002 -1.249987e+001 -4.892431e+001 -6.249934e+000 -1.233842e+000
  311 -8.899999e-001 3.798350e+000 9.999931e-003 -1.543539e+001 -2.569199e+001 -7.717697e+000 -1.373521e+000
  312 -8.799999e-001 3.783818e+000 9.999931e-003 -1.697690e+001 1.137932e+000 -8.488451e+000 -1.535581e+000
  313 -8.700000e-001 3.767614e+000 9.999931e-003 -1.690863e+001 3.115396e+001 -8.454313e+000 -1.705008e+000
  314 -8.600001e-001 3.749750e+000 1.000023e-002 -1.503940e+001 6.009645e+001 -7.519701e+000 -1.864747e+000
  315 -8.499998e-001 3.730410e+000 9.999931e-003 -1.143353e+001 8.803353e+001 -5.716766e+000 -1.997115e+000
  316 -8.399999e-001 3.709955e+000 9.999812e-003 -6.151557e+000 1.047368e+002 -3.075779e+000 -2.085039e+000
  317 -8.300001e-001 3.688903e+000 1.000005e-002 1.325308e-001 1.079547e+002 6.626541e-002 -2.115134e+000
  318 -8.200001e-001 3.667866e+000 1.000017e-002 6.609843e+000 9.498404e+001 3.304922e+000 -2.081422e+000
  319 -8.099999e-001 3.647477e+000 9.999812e-003 1.230898e+001 6.620801e+001 6.154491e+000 -1.986826e+000
  320 -8.000001e-001 3.628290e+000 1.000005e-002 1.628139e+001 1.757355e+001 8.140694e+000 -1.843877e+000
  321 -7.900000e-001 3.610683e+000 1.000005e-002 1.733581e+001 -3.398052e+001 8.667903e+000 -1.675790e+000
  322 -7.800000e-001 3.594758e+000 1.000005e-002 1.529696e+001 -8.358903e+001 7.648482e+000 -1.512626e+000
  323 -7.699999e-001 3.580313e+000 9.999931e-003 1.028160e+001 -1.215249e+002 5.140799e+000 -1.384732e+000
  324 -7.600000e-001 3.566858e+000 9.999871e-003 2.990152e+000 -1.373743e+002 1.495076e+000 -1.318374e+000
  325 -7.500001e-001 3.553687e+000 1.000017e-002 -5.252202e+000 -1.243440e+002 -2.626101e+000 -1.329684e+000
  326 -7.399999e-001 3.540003e+000 9.999931e-003 -1.271297e+001 -8.719708e+001 -6.356484e+000 -1.419511e+000
  327 -7.300000e-001 3.525085e+000 1.000005e-002 -1.794476e+001 -3.227536e+001 -8.972379e+000 -1.572799e+000
  328 -7.200000e-001 3.508427e+000 1.000005e-002 -1.988129e+001 3.803326e+001 -9.940644e+000 -1.761930e+000
  329 -7.099999e-001 3.489852e+000 9.999871e-003 -1.759928e+001 1.017322e+002 -8.799641e+000 -1.949334e+000
  330 -7.000000e-001 3.469581e+000 1.000005e-002 -1.149543e+001 1.429881e+002 -5.747714e+000 -2.094805e+000
  331 -6.900000e-001 3.448201e+000 9.999990e-003 -2.916099e+000 1.545692e+002 -1.458050e+000 -2.166864e+000
  332 -6.800000e-001 3.426541e+000 9.999990e-003 6.358045e+000 1.250643e+002 3.179022e+000 -2.149654e+000
  333 -6.700000e-001 3.405487e+000 1.000011e-002 1.386190e+001 5.112039e+001 6.930948e+000 -2.048554e+000
  334 -6.599999e-001 3.385746e+000 9.999871e-003 1.692915e+001 -3.506350e+001 8.464577e+000 -1.894597e+000
  335 -6.500000e-001 3.367611e+000 1.000011e-002 1.482537e+001 -1.128934e+002 7.412685e+000 -1.735827e+000
  336 -6.399999e-001 3.350881e+000 9.999990e-003 8.051694e+000 -1.610509e+002 4.025847e+000 -1.621440e+000
  337 -6.299999e-001 3.334908e+000 9.999931e-003 -1.611350e+000 -1.511719e+002 -8.056751e-001 -1.589239e+000
  338 -6.200000e-001 3.318784e+000 9.999990e-003 -1.068160e+001 -8.928347e+001 -5.340802e+000 -1.650703e+000
  339 -6.100000e-001 3.301654e+000 9.999931e-003 -1.603861e+001 -6.915776e-001 -8.019303e+000 -1.784304e+000
  340 -6.000001e-001 3.283009e+000 1.000011e-002 -1.608010e+001 9.013564e+001 -8.040051e+000 -1.944896e+000
  341 -5.900000e-001 3.262846e+000 9.999990e-003 -1.067190e+001 1.543038e+002 -5.335952e+000 -2.078658e+000
  342 -5.800000e-001 3.241680e+000 1.000005e-002 -1.413685e+000 1.460708e+002 -7.068424e-001 -2.139086e+000
  343 -5.699999e-001 3.220364e+000 9.999990e-003 7.350610e+000 8.107818e+001 3.675305e+000 -2.109401e+000
  344 -5.599999e-001 3.199719e+000 9.999931e-003 1.221530e+001 -1.403442e+001 6.107648e+000 -2.011571e+000
  345 -5.500000e-001 3.180200e+000 1.000011e-002 1.137324e+001 -1.136608e+002 5.686618e+000 -1.893630e+000
  346 -5.399999e-001 3.161718e+000 9.999871e-003 4.553516e+000 -1.443530e+002 2.276758e+000 -1.813995e+000
  347 -5.300000e-001 3.143662e+000 1.000005e-002 -4.107551e+000 -1.032957e+002 -2.053775e+000 -1.811765e+000
  348 -5.200000e-001 3.125236e+000 9.999931e-003 -1.030532e+001 -1.975207e+001 -5.152662e+000 -1.883830e+000
  349 -5.100001e-001 3.105862e+000 1.000008e-002 -1.149044e+001 8.006991e+001 -5.745220e+000 -1.992808e+000
  350 -5.000000e-001 3.085440e+000 1.000005e-002 -6.686206e+000 1.282720e+002 -3.343103e+000 -2.083692e+000
  351 -4.899999e-001 3.064397e+000 9.999901e-003 1.010152e+000 9.227397e+001 5.050758e-001 -2.112072e+000
  352 -4.800000e-001 3.043419e+000 1.000008e-002 6.546535e+000 1.424723e+001 3.273268e+000 -2.074289e+000
  353 -4.699999e-001 3.023017e+000 1.000002e-002 7.401376e+000 -7.489529e+001 3.700688e+000 -2.004549e+000
  354 -4.599999e-001 3.003267e+000 9.999931e-003 2.907649e+000 -1.085825e+002 1.453825e+000 -1.953004e+000
  355 -4.500000e-001 2.983774e+000 1.000002e-002 -3.607254e+000 -5.619498e+001 -1.803627e+000 -1.956502e+000
  356 -4.400000e-001 2.963972e+000 9.999961e-003 -6.978960e+000 1.930732e+001 -3.489480e+000 -2.009433e+000
  357 -4.300000e-001 2.943548e+000 9.999990e-003 -5.820525e+000 7.928202e+001 -2.910262e+000 -2.073430e+000
  358 -4.200000e-001 2.922602e+000 9.999961e-003 -1.063608e+000 7.543077e+001 -5.318040e-001 -2.107851e+000
  359 -4.100001e-001 2.901546e+000 1.000008e-002 3.462220e+000 1.968682e+000 1.731110e+000 -2.095858e+000
  360 -4.000000e-001 2.880763e+000 1.000002e-002 3.580342e+000 -5.101580e+001 1.790171e+000 -2.060645e+000
  361 -3.900000e-001 2.860284e+000 9.999961e-003 5.193876e-001 -6.230754e+001 2.596938e-001 -2.040146e+000
  362 -3.800000e-001 2.839846e+000 9.999990e-003 -3.219050e+000 -1.547725e+001 -1.609525e+000 -2.053644e+000
  363 -3.700000e-001 2.819134e+000 9.999990e-003 -4.147684e+000 4.476208e+001 -2.073842e+000 -2.090478e+000
  364 -3.600000e-001 2.798066e+000 1.000002e-002 -1.461962e+000 4.296320e+001 -7.309808e-001 -2.118526e+000
  365 -3.500000e-001 2.776851e+000 1.000002e-002 1.115836e+000 1.005752e+001 5.579178e-001 -2.120257e+000
  366 -3.400000e-001 2.755714e+000 9.999961e-003 1.719288e+000 -3.515813e+001 8.596439e-001 -2.106081e+000
  367 -3.300000e-001 2.734704e+000 1.000002e-002 -3.901920e-001 -3.272972e+001 -1.950960e-001 -2.099436e+000
  368 -3.200000e-001 2.713657e+000 9.999961e-003 -2.353980e+000 7.992150e+000 -1.176990e+000 -2.113157e+000
  369 -3.100000e-001 2.692416e+000 1.000002e-002 -1.874452e+000 2.580996e+001 -9.372262e-001 -2.134299e+000
  370 -3.000000e-001 2.671005e+000 9.999990e-003 -3.258516e-001 1.875395e+001 -1.629258e-001 -2.145300e+000
  371 -2.900000e-001 2.649555e+000 1.000005e-002 7.993842e-001 -1.837992e+001 3.996921e-001 -2.142932e+000
  372 -2.800000e-001 2.628147e+000 9.999990e-003 -3.034164e-001 -1.844522e+001 -1.517082e-001 -2.140453e+000
  373 -2.700000e-001 2.606709e+000 9.999990e-003 -1.410129e+000 1.927634e+000 -7.050643e-001 -2.149020e+000
  374 -2.600000e-001 2.585150e+000 9.999961e-003 -1.294471e+000 1.710732e+001 -6.472353e-001 -2.162543e+000
  375 -2.500000e-001 2.563477e+000 9.999976e-003 -2.680356e-001 7.464859e+000 -1.340178e-001 -2.170356e+000
  376 -2.400001e-001 2.541768e+000 1.000009e-002 1.798548e-001 -1.574520e+001 8.992741e-002 -2.170797e+000
  377 -2.300000e-001 2.520053e+000 9.999990e-003 -7.648664e-001 -5.288644e+000 -3.824332e-001 -2.173722e+000
  378 -2.200000e-001 2.498272e+000 9.999946e-003 -1.082185e+000 6.272135e+000 -5.410923e-001 -2.182957e+000
  379 -2.100000e-001 2.476395e+000 9.999990e-003 -7.058586e-001 1.210561e+001 -3.529293e-001 -2.191897e+000
  380 -2.000000e-001 2.454453e+000 1.000002e-002 2.047732e-002 -1.014225e+001 1.023866e-002 -2.195324e+000
  381 -1.900000e-001 2.432490e+000 9.999990e-003 -5.880590e-001 -5.046051e+000 -2.940295e-001 -2.198162e+000
  382 -1.800000e-001 2.410474e+000 1.000005e-002 -8.908218e-001 3.582427e+000 -4.454109e-001 -2.205556e+000
  383 -1.700000e-001 2.388377e+000 9.999990e-003 -6.758751e-001 1.024162e+001 -3.379375e-001 -2.213390e+000
  384 -1.600000e-001 2.366220e+000 1.000001e-002 -6.137815e-002 -1.076726e+001 -3.068907e-002 -2.217076e+000
  385 -1.500000e-001 2.344035e+000 9.999990e-003 -7.074140e-001 -8.557417e-001 -3.537070e-001 -2.220920e+000
  386 -1.400000e-001 2.321790e+000 9.999946e-003 -7.587584e-001 5.063449e+000 -3.793792e-001 -2.228251e+000
  387 -1.300000e-001 2.299475e+000 1.000004e-002 -4.549531e-001 4.283360e+000 -2.274766e-001 -2.234320e+000
  388 -1.200000e-001 2.277113e+000 9.999976e-003 -1.979504e-001 -1.207284e+001 -9.897522e-002 -2.237584e+000
  389 -1.100000e-001 2.254715e+000 1.000001e-002 -9.223192e-001 8.478601e+000 -4.611596e-001 -2.243186e+000
  390 -1.000000e-001 2.232246e+000 1.000001e-002 -4.136025e-001 9.463856e-001 -2.068012e-001 -2.249865e+000
  391 -9.000000e-002 2.209727e+000 1.000002e-002 -3.568193e-001 -4.345977e+000 -1.784097e-001 -2.253717e+000
  392 -7.999998e-002 2.187168e+000 9.999961e-003 -6.175784e-001 2.950670e-001 -3.087892e-001 -2.258589e+000
  393 -7.000002e-002 2.164551e+000 1.000001e-002 -5.998745e-001 4.848917e+000 -2.999372e-001 -2.264676e+000
  394 -6.000001e-002 2.141880e+000 9.999994e-003 -3.089391e-001 -4.115309e+000 -1.544696e-001 -2.269221e+000
  395 -5.000002e-002 2.119168e+000 9.999990e-003 -5.558575e-001 -1.705452e+000 -2.779288e-001 -2.273545e+000
  396 -4.000003e-002 2.096403e+000 1.000003e-002 -6.581846e-001 8.165364e+000 -3.290923e-001 -2.279615e+000
  397 -3.000000e-002 2.073582e+000 1.000000e-002 -1.682615e-001 -9.872787e+000 -8.413073e-002 -2.283747e+000
  398 -2.000000e-002 2.050726e+000 9.999999e-003 -7.606288e-001 6.340630e+000 -3.803144e-001 -2.288391e+000
  399 -9.999999e-003 2.027811e+000 9.999999e-003 -3.801910e-001 2.522817e-001 -1.900955e-001 -2.294096e+000
  400 0.000000e+000 2.004851e+000 1.000001e-002 -3.650541e-001 -5.414522e+000 -1.825271e-001 -2.297822e+000
  401 1.000001e-002 1.981849e+000 1.000019e-002 -6.899258e-001 6.893901e+000 -3.449629e-001 -2.303097e+000
  402 2.000020e-002 1.958790e+000 9.999681e-003 -2.762838e-001 -4.087666e+000 -1.381419e-001 -2.307928e+000
  403 2.999988e-002 1.935694e+000 1.000003e-002 -5.215359e-001 -1.162972e-001 -2.607680e-001 -2.311917e+000
  404 3.999992e-002 1.912548e+000 9.999897e-003 -5.285138e-001 3.186301e+000 -2.642569e-001 -2.317167e+000
  405 4.999981e-002 1.889353e+000 1.000034e-002 -3.373377e-001 -2.470442e+000 -1.686689e-001 -2.321496e+000
  406 6.000015e-002 1.866118e+000 1.000002e-002 -4.855692e-001 -5.440075e-001 -2.427846e-001 -2.325611e+000
  407 7.000017e-002 1.842837e+000 9.999655e-003 -5.182098e-001 2.383321e+000 -2.591049e-001 -2.330630e+000
  408 7.999983e-002 1.819508e+000 1.000024e-002 -3.752154e-001 -7.003822e-001 -1.876077e-001 -2.335097e+000
  409 9.000006e-002 1.796137e+000 9.999782e-003 -4.172393e-001 -1.166772e+000 -2.086197e-001 -2.339059e+000
  410 9.999985e-002 1.772725e+000 1.000030e-002 -4.872441e-001 8.407001e-001 -2.436221e-001 -2.343581e+000
  411 1.100001e-001 1.749265e+000 9.999938e-003 -4.368006e-001 7.667465e-001 -2.184003e-001 -2.348202e+000
  412 1.200001e-001 1.725762e+000 9.999961e-003 -3.907961e-001 -5.134270e-001 -1.953981e-001 -2.352340e+000
  413 1.300000e-001 1.702219e+000 9.999871e-003 -4.216016e-001 -4.071268e-001 -2.108008e-001 -2.356402e+000
  414 1.399999e-001 1.678634e+000 1.000024e-002 -4.460289e-001 2.530285e-001 -2.230145e-001 -2.360740e+000
  415 1.500002e-001 1.655004e+000 9.999931e-003 -4.308468e-001 5.175100e-001 -2.154234e-001 -2.365124e+000
  416 1.600001e-001 1.631332e+000 9.999797e-003 -3.997965e-001 1.239966e-001 -1.998982e-001 -2.369277e+000
  417 1.699999e-001 1.607619e+000 1.000005e-002 -3.923568e-001 -2.132728e-001 -1.961784e-001 -2.373238e+000
  418 1.799999e-001 1.583867e+000 1.000018e-002 -4.051532e-001 -5.053661e-001 -2.025766e-001 -2.377226e+000
  419 1.900001e-001 1.560074e+000 9.999827e-003 -4.354758e-001 7.057690e-001 -2.177379e-001 -2.381429e+000
  420 1.999999e-001 1.536239e+000 1.000002e-002 -3.931304e-001 -5.087097e-002 -1.965652e-001 -2.385572e+000
  421 2.100000e-001 1.512363e+000 1.000006e-002 -3.961826e-001 9.706156e-002 -1.980913e-001 -2.389518e+000
  422 2.200000e-001 1.488448e+000 1.000005e-002 -3.903589e-001 -2.910182e-003 -1.951794e-001 -2.393451e+000
  423 2.300001e-001 1.464494e+000 9.999946e-003 -3.905335e-001 -6.186946e-002 -1.952668e-001 -2.397356e+000
  424 2.400000e-001 1.440501e+000 9.999856e-003 -3.942457e-001 4.042242e-001 -1.971228e-001 -2.401280e+000
  425 2.499999e-001 1.416469e+000 1.000014e-002 -3.699926e-001 -4.201970e-001 -1.849963e-001 -2.405101e+000
  426 2.600000e-001 1.392399e+000 9.999961e-003 -3.952047e-001 4.037247e-001 -1.976024e-001 -2.408927e+000
